plot_code,country_code,survey_date,altitude,longitude,latitude,tsu_id,plot_id,country_name,sign_of_erosion,srf_salt,srf_crust,crsfrgab,srf_stone,lndform,slope_class,bare_soil,main_land_use,life_forms,crop_type,field_size,field_distribution_pattern,ploughing_sign,ploughing_direction,tillage_mode,input_crop_residue,input_green_manure,input_animal_manure,input_inorganic,water_supply,grazing_sign_present,grazing_sign_infrastructure,grazing_sign_droppings,grazing_sign_grass,overgrazing_sign_bare,overgrazing_sign_dung,overgrazing_sign_deforest
NG043-7-1,NG,2022/10/06,38,8.3692114,6.5365113,792792702001801,45,Nigeria,Yes,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),No,Cultivated and managed land (terrestial area),Shrub,Roots and tubers,5 to 12 acres (± 2 to 5 ha ; 20.000-50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,Yes,Yes,No,Rainfed ,Yes,No,No,No,No,No,Yes
NG045-4-3,NG,2022/10/07,65,7.9805367,6.201278299999999,801251201301203,46,Nigeria,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Manual (hoe),Yes,Yes,Yes,Yes,Rainfed ,Yes,No,Yes,Yes,Yes,Yes,No
NG045-2-1,NG,2022/10/07,59,7.9787583,6.19578,801251201900901,47,Nigeria,Yes,No,No,Few (2-5%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour",Manual (hoe),Yes,Yes,Yes,No,Rainfed ,Yes,No,Yes,Yes,Yes,No,No
NG045-3-1,NG,2022/10/07,65,7.971128299999999,6.198075,801251201700101,48,Nigeria,Yes,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,Manual (hoe),Yes,Yes,Yes,No,Rainfed ,No,No,No,No,No,No,No
NG045-1-1,NG,2022/10/07,63,7.9709699999999994,6.2003017,801251201400101,49,Nigeria,No,No,No,Few (2-5%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Fields: 20 – 50%; clustered – irregular pattern and shape ,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,Manual (hoe),Yes,Yes,Yes,No,Rainfed ,No,No,No,No,No,No,No
GH072-2-1,GH,2022/09/14,326,-2.8883592,7.175977499999999,777145200801601,62,Ghana,No,No,No,Common (5-15%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,No,Rainfed ,No,No,No,No,No,No,No
GH072-3-1,GH,2022/09/14,326,-2.8849400000000003,7.175286099999999,777145200901901,63,Ghana,No,No,No,Common (5-15%),Coarse gravel (2 - 6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),Yes,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH072-4-1,GH,2022/09/14,302,-2.8886862,7.1716008,777145201301501,64,Ghana,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,No,Rainfed ,No,No,No,No,No,No,No
GH072-5-1,GH,2022/09/14,297,-2.897968,7.176978299999999,777145200700501,68,Ghana,No,No,No,Few (2-5%),Medium gravel (0.6 - 2.0 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Gently sloping (2 - 5%),Yes,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",Less than 1 acre (< ± 0.4 ha ; < 4000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),No,No,No,No,Rainfed ,No,No,No,No,No,No,No
GH077-2-1,GH,2022/09/15,199,-2.9357153,6.5090958,793620801001301,71,Ghana,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH077-1-1,GH,2022/09/15,201,-2.9356887,6.5102905,793620800901301,72,Ghana,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH077-4-1,GH,2022/09/15,188,-2.9367762,6.5013833,793620801901101,73,Ghana,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH080-4-1,GH,2022/09/16,195,-2.3713713,6.1838967,801639201301401,76,Ghana,No,No,No,Many (15-40%),Coarse gravel (2 - 6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),No,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH084-5-1,GH,2022/09/17,146,-2.3522381,5.8480695,810099900601301,83,Ghana,No,No,No,Many (15-40%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH084-3-1,GH,2022/09/17,155,-2.3588513,5.8482645,810099900600601,84,Ghana,No,No,No,Common (5-15%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Gently sloping (2 - 5%),Yes,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH090-1-1,GH,2022/09/20,38,-2.6640968,5.374372900000001,821675801401801,95,Ghana,No,No,No,Few (2-5%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Strongly sloping (10 - 15%),No,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH090-4-1,GH,2022/09/20,82,-2.674274,5.3708062000000005,821675801800701,96,Ghana,No,No,No,Few (2-5%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Sloping (5 - 10%),No,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH091-3-1,GH,2022/09/21,86,-1.944176,5.0725988,829249801001901,99,Ghana,Yes,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Strongly sloping (10 - 15%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Oilcrops,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,Mechanical (tractor),No,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH091-2-1,GH,2022/09/21,86,-1.9434209999999998,5.072196099999999,829249801002001,100,Ghana,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Oilcrops,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Along contours,Mechanical (tractor),No,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH088-3-1,GH,2022/09/22,131,-1.9886366000000002,5.5197983,818117201201601,101,Ghana,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Strongly sloping (10 - 15%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,Less than 1 acre (< ± 0.4 ha ; < 4000 m2),Fields: 20 – 50%; clustered – irregular pattern and shape ,Signs of field recently tilled: presence of prominent ridges or heaps,"In slope direction, tangent to contour",Manual (hoe),Yes,No,No,No,Rainfed ,No,No,No,No,No,No,No
GH088-1-1,GH,2022/09/22,139,-1.9868702,5.514007299999999,818117201801701,102,Ghana,No,No,No,Common (5-15%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH088-2-1,GH,2022/09/22,143,-2.001413,5.522564099999999,818117200900201,103,Ghana,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Strongly sloping (10 - 15%),No,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH085-7-1,GH,2022/09/23,112,-1.5710383999999997,5.7786066,811885400401401,110,Ghana,No,No,No,Very few (0-2%),Fine gravel (0.2 - 0.6 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH089-4-1,GH,2022/09/26,112,-0.841777,5.4087084,820795301602001,122,Ghana,No,No,No,Very few (0-2%),Medium gravel (0.6 - 2.0 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Tree,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)",Less than 1 acre (< ± 0.4 ha ; < 4000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),Yes,No,No,Yes,Rainfed ,No,No,No,No,No,No,No
GH089-3-3,GH,2022/09/26,104,-0.8425521,5.4061105000000005,820795301801903,125,Ghana,No,No,No,Few (2-5%),Medium gravel (0.6 - 2.0 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,Less than 1 acre (< ± 0.4 ha ; < 4000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,Manual (hoe),Yes,No,No,No,Rainfed ,No,No,No,No,No,No,No
GH070-1-1,GH,2022/09/27,91,-1.1250368,5.2929153,823910800502001,130,Ghana,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Gently sloping (2 - 5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Not applicable,Manual (hoe),No,No,No,No,Rainfed ,No,No,No,No,No,No,No
GH079-2-1,GH,2023/01/23,294,-1.6243833,6.2675592,799416901900701,138,Ghana,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,Less than 1 acre (< ± 0.4 ha ; < 4000 m2),Contiguous fields; > 70% – regular pattern ,Signs of field recently tilled: presence of prominent ridges or heaps,Not applicable,Manual (hoe),Yes,No,No,No,Rainfed ,No,No,No,No,No,No,No
GH058-3-1,GH,2024/01/17,146,-0.7866095000000001,9.4836293,719714101901701,153,Ghana,Yes,No,No,Many (15-40%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,Less than 1 acre (< ± 0.4 ha ; < 4000 m2),Fields: 20 – 50%; clustered – irregular pattern and shape ,No visible signs of tillage,Not applicable,Mechanical (tractor),No,No,No,No,Rainfed ,Yes,Yes,Yes,No,No,No,No
GH056-5-1,GH,2024/01/17,164,-0.9347398000000001,9.6722508,715260400901301,156,Ghana,Yes,No,No,Few (2-5%),Coarse gravel (2 - 6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated aquatic or regularly flooded areas,Herbaceous - Graminoids,Cereals,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Mechanical (tractor),Yes,No,No,No,Rainfed ,No,No,Yes,No,No,No,No
GH056-2-1,GH,2024/01/17,148,-0.9432530000000001,9.6694154,715260401200401,157,Ghana,Yes,No,No,Common (5-15%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,More than 12 acres (> ± 5 ha ; > 50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Mechanical (tractor),Yes,No,No,No,Rainfed ,No,Yes,Yes,No,No,No,No
GH056-1-1,GH,2024/01/17,148,-0.9377638,9.675236199999999,715260400601001,159,Ghana,Yes,No,No,Common (5-15%),Fine gravel (0.2 - 0.6 cm),"Level land (Gradient < 10%, relief intensity < 50 m/km)",Flat (0 - 0.5%),Yes,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,5 to 12 acres (± 2 to 5 ha ; 20.000-50.000 m2),Contiguous fields; > 70% – regular pattern ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened",Along contours,Mechanical (tractor),Yes,No,No,No,Rainfed ,No,No,Yes,No,Yes,Yes,No
GH020-1-1,GH,2022/09/22,184,0.36329279999999997,7.1076632,778944400400201,203,Ghana,No,No,No,Common (5-15%),Medium gravel (0.6 - 2.0 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Very gently sloping (0.5 - 2.0%),No,Cultivated and managed land (terrestial area),Herbaceous - Non-Graminoids,Roots and tubers,Less than 1 acre (< ± 0.4 ha ; < 4000 m2),Fields: < 20%; scattered ,"Signs of tillage in the past: ridges visible forming a pattern, but ridges less pronounced/flattened","In slope direction, tangent to contour",Manual (hoe),No,No,No,No,Rainfed ,No,No,No,No,No,No,No
GH067-4-1,GH,2022/09/25,162,0.0605058,6.3408487000000004,797645001801601,220,Ghana,No,No,No,Abundant (40-80%),Large boulders (60 - 200 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Gently sloping (2 - 5%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,2 to 5 acres (± 0.8 to 2 ha ; 8000-20.000 m2),Contiguous fields; > 50% – irregular pattern and shape,No visible signs of tillage,Not applicable,Manual (hoe),No,No,No,No,Rainfed ,No,No,No,No,No,No,No
GH081-3-2,GH,2022/09/26,406,-0.2233197,6.1368053,802987000500902,229,Ghana,No,No,No,Common (5-15%),Large boulders (60 - 200 cm),"Sloping land (Gradient 10–30%, relief intensity 50-150 m/km)",Strongly sloping (10 - 15%),No,Cultivated and managed land (terrestial area),Herbaceous - Graminoids,Cereals,1 to 2 acres (± 0.4 to 0.8 ha ; 4000-8000 m2),Fields: 20 – 50%; clustered – irregular pattern and shape ,No visible signs of tillage,Not applicable,Manual (hoe),No,No,No,No,Rainfed ,No,No,No,No,No,No,No
